pathway,effect,FDR,category,neglogFDR,pathway_short
HALLMARK_ADIPOGENESIS,-0.1399289436901377,0.6052238850673529,Other,0.21808394094584177,ADIPOGENESIS
HALLMARK_ALLOGRAFT_REJECTION,0.278004756279575,0.4610195410833003,Other,0.3362806659231802,ALLOGRAFT REJECTION
HALLMARK_ANDROGEN_RESPONSE,-0.04959047939401851,0.8948573887575506,Other,0.048246171623337185,ANDROGEN RESPONSE
HALLMARK_ANGIOGENESIS,0.31041870884052725,0.4610195410833003,Repair,0.3362806659231802,ANGIOGENESIS
HALLMARK_APICAL_JUNCTION,0.14947944494877255,0.5864378521077103,Other,0.23177800557197198,APICAL JUNCTION
HALLMARK_APICAL_SURFACE,0.12696460787235794,0.5667904044924928,Other,0.24657751077326504,APICAL SURFACE
HALLMARK_APOPTOSIS,0.16445135720779464,0.4610195410833003,Other,0.3362806659231802,APOPTOSIS
HALLMARK_BILE_ACID_METABOLISM,-0.1151199087701785,0.6052238850673529,Other,0.21808394094584177,BILE ACID METABOLISM
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.34663520349722343,0.4610195410833003,Other,0.3362806659231802,CHOLESTEROL HOMEOSTASIS
HALLMARK_COAGULATION,-0.01138956770660518,0.9619827793426251,Other,0.016832702290058538,COAGULATION
HALLMARK_COMPLEMENT,0.16481531024443,0.4610195410833003,Inflammation,0.3362806659231802,COMPLEMENT
HALLMARK_DNA_REPAIR,0.0689938916936257,0.9551883113774314,Other,0.019911000636127586,DNA REPAIR
HALLMARK_E2F_TARGETS,-0.0023843167293905176,0.9947801874566906,Other,0.0022728729436343183,E2F TARGETS
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.2434539587123622,0.4997462489015334,Repair,0.301250457014706,EPITHELIAL MESENCHYMAL TRANSITION
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.0733864368150122,0.8633849031874902,Other,0.06379554951770448,ESTROGEN RESPONSE EARLY
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.10334658975002332,0.5864378521077103,Other,0.23177800557197198,ESTROGEN RESPONSE LATE
HALLMARK_FATTY_ACID_METABOLISM,-0.047384375763559416,0.9551883113774314,Other,0.019911000636127586,FATTY ACID METABOLISM
HALLMARK_G2M_CHECKPOINT,-0.1097582133416541,0.8948573887575506,Other,0.048246171623337185,G2M CHECKPOINT
HALLMARK_GLYCOLYSIS,-0.025759703451597796,0.9551883113774314,Other,0.019911000636127586,GLYCOLYSIS
HALLMARK_HEDGEHOG_SIGNALING,0.03701967453806627,0.9551883113774314,ECM/Wnt,0.019911000636127586,HEDGEHOG SIGNALING
HALLMARK_HEME_METABOLISM,0.03934405755939641,0.9177410794005034,Other,0.03727982821974282,HEME METABOLISM
HALLMARK_HYPOXIA,0.0695871787690749,0.7941304054868648,Other,0.10010817549093,HYPOXIA
HALLMARK_IL2_STAT5_SIGNALING,0.22581491808851692,0.4610195410833003,Other,0.3362806659231802,IL2 STAT5 SIGNALING
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.14485627703356496,0.5864378521077103,Other,0.23177800557197198,IL6 JAK STAT3 SIGNALING
HALLMARK_INFLAMMATORY_RESPONSE,0.2159364433580062,0.4610195410833003,Inflammation,0.3362806659231802,INFLAMMATORY RESPONSE
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.2691866739065088,0.4610195410833003,Inflammation,0.3362806659231802,INTERFERON ALPHA RESPONSE
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.3349931177549819,0.4610195410833003,Inflammation,0.3362806659231802,INTERFERON GAMMA RESPONSE
HALLMARK_KRAS_SIGNALING_DN,-0.10421881105007222,0.4610195410833003,Other,0.3362806659231802,KRAS SIGNALING DN
HALLMARK_KRAS_SIGNALING_UP,0.18942483465978027,0.4610195410833003,Other,0.3362806659231802,KRAS SIGNALING UP
HALLMARK_MITOTIC_SPINDLE,0.23489514612363693,0.4610195410833003,Other,0.3362806659231802,MITOTIC SPINDLE
HALLMARK_MTORC1_SIGNALING,-0.11990135518383803,0.7892132761968748,Other,0.10280561762847928,MTORC1 SIGNALING
HALLMARK_MYC_TARGETS_V1,-0.4170351274688292,0.5667904044924928,Other,0.24657751077326504,MYC TARGETS V1
HALLMARK_MYC_TARGETS_V2,-0.5859878681846409,0.4610195410833003,Other,0.3362806659231802,MYC TARGETS V2
HALLMARK_MYOGENESIS,0.06945122012682732,0.6441730543982235,Other,0.19099744556865964,MYOGENESIS
HALLMARK_NOTCH_SIGNALING,0.1718845503682964,0.5460748456767381,ECM/Wnt,0.2627478282903026,NOTCH SIGNALING
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.2663387200509002,0.6441730543982235,Other,0.19099744556865964,OXIDATIVE PHOSPHORYLATION
HALLMARK_P53_PATHWAY,0.1013307412461522,0.6715152324901988,Other,0.17294413145184437,P53 PATHWAY
HALLMARK_PANCREAS_BETA_CELLS,-0.3433589608611817,0.4610195410833003,Other,0.3362806659231802,PANCREAS BETA CELLS
HALLMARK_PEROXISOME,-0.039090389211111694,0.9177410794005034,Other,0.03727982821974282,PEROXISOME
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.07649044917875267,0.861848356294059,Other,0.06456914231714604,PI3K AKT MTOR SIGNALING
HALLMARK_PROTEIN_SECRETION,0.006981086896939562,0.990164554734903,Other,0.004292624316960976,PROTEIN SECRETION
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.21904356548849863,0.4610195410833003,Other,0.3362806659231802,REACTIVE OXYGEN SPECIES PATHWAY
HALLMARK_SPERMATOGENESIS,-0.18696563208883268,0.4610195410833003,Other,0.3362806659231802,SPERMATOGENESIS
HALLMARK_TGF_BETA_SIGNALING,0.2374522195050625,0.5864378521077103,Repair,0.23177800557197198,TGF BETA SIGNALING
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.18714688036904786,0.6052238850673529,Inflammation,0.21808394094584177,TNFA SIGNALING VIA NFKB
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.030991464950711447,0.9551883113774314,Other,0.019911000636127586,UNFOLDED PROTEIN RESPONSE
HALLMARK_UV_RESPONSE_DN,0.2404751845392925,0.47020060625916954,Other,0.3277168152475699,UV RESPONSE DN
HALLMARK_UV_RESPONSE_UP,0.0866922000338427,0.6441730543982235,Other,0.19099744556865964,UV RESPONSE UP
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.01776521095948727,0.9619827793426251,ECM/Wnt,0.016832702290058538,WNT BETA CATENIN SIGNALING
HALLMARK_XENOBIOTIC_METABOLISM,-0.1096420515470443,0.5460748456767381,Other,0.2627478282903026,XENOBIOTIC METABOLISM
