pathway,pathway_short,category,prop_consistent
HALLMARK_ALLOGRAFT_REJECTION,ALLOGRAFT REJECTION,Other,1
HALLMARK_ANGIOGENESIS,ANGIOGENESIS,Repair,1
HALLMARK_CHOLESTEROL_HOMEOSTASIS,CHOLESTEROL HOMEOSTASIS,Other,1
HALLMARK_IL2_STAT5_SIGNALING,IL2 STAT5 SIGNALING,Other,1
HALLMARK_INFLAMMATORY_RESPONSE,INFLAMMATORY RESPONSE,Inflammation,1
HALLMARK_INTERFERON_ALPHA_RESPONSE,INTERFERON ALPHA RESPONSE,Inflammation,1
HALLMARK_INTERFERON_GAMMA_RESPONSE,INTERFERON GAMMA RESPONSE,Inflammation,1
HALLMARK_KRAS_SIGNALING_UP,KRAS SIGNALING UP,Other,1
HALLMARK_MITOTIC_SPINDLE,MITOTIC SPINDLE,Other,1
HALLMARK_MYC_TARGETS_V2,MYC TARGETS V2,Other,1
HALLMARK_PANCREAS_BETA_CELLS,PANCREAS BETA CELLS,Other,1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,REACTIVE OXYGEN SPECIES PATHWAY,Other,1
