pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,5.120327700972862e-4,0.025601638504864313,0.3431730052035299,1.6368098051778617,0,195,
HALLMARK_INFLAMMATORY_RESPONSE,0.0010351966873706005,0.025879917184265012,0.3103539848586286,1.482967968389094,1,198,
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0030753459764223477,0.051255766273705795,0.3025642384000305,1.4387710621096232,5,192,
HALLMARK_HEME_METABOLISM,0.004618072890664004,0.057725911133300056,-0.35092993558990576,-1.4603562547427476,36,189,
HALLMARK_COMPLEMENT,0.009708737864077669,0.09708737864077668,0.28277821000461567,1.3472458889181,18,194,
HALLMARK_SPERMATOGENESIS,0.01171669299631385,0.09763910830261542,-0.36258444707411874,-1.4463490741500724,88,131,
HALLMARK_PANCREAS_BETA_CELLS,0.01573611741564533,0.09835073384778333,-0.47671935991181363,-1.5679648458142368,103,40,
HALLMARK_KRAS_SIGNALING_DN,0.014200298953662182,0.09835073384778333,-0.3330593574226377,-1.3871893064507717,113,190,
HALLMARK_UV_RESPONSE_DN,0.050317124735729385,0.27953958186516326,0.2779181373571188,1.2651626714026318,118,135,
HALLMARK_ANGIOGENESIS,0.12866817155756208,0.6254269125683061,0.3567038568677635,1.260564933758086,455,35,
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.1398565573770492,0.6254269125683061,0.23762521289772753,1.1311922990999583,272,193,
HALLMARK_ALLOGRAFT_REJECTION,0.15010245901639344,0.6254269125683061,0.23616929993005642,1.12426156343809,292,193,
HALLMARK_ANDROGEN_RESPONSE,0.16827055265328567,0.647194433281868,-0.31088558610498335,-1.1842057009217883,1223,94,
HALLMARK_XENOBIOTIC_METABOLISM,0.35759532977269903,1,-0.25036566939086125,-1.0441326236874302,2878,192,
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.37979724837074585,1,0.23928898401454574,1.0267125341934584,1048,92,
HALLMARK_PEROXISOME,0.431809450633884,1,0.23217033490157715,1.009840213322217,1123,101,
HALLMARK_BILE_ACID_METABOLISM,0.45641580942068216,1,-0.25829175667844484,-1.0035041427268243,3371,109,
HALLMARK_ESTROGEN_RESPONSE_LATE,0.5400870105655686,1,-0.23227120078752816,-0.9694108638472283,4344,194,
HALLMARK_APICAL_SURFACE,0.5132008306140611,1,0.2604830873356981,0.9650506429818896,1729,43,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.5193949378463382,1,-0.28406195155480635,-0.9642910028668029,3467,47,
HALLMARK_MYC_TARGETS_V2,0.5352568820844987,1,-0.2734778052027308,-0.9548275228873555,3635,55,
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.5674901539563194,1,0.22417322751390645,0.9525247572275943,1584,87,
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.5885363357215967,1,0.22943358828576976,0.9390015665190824,1724,71,
HALLMARK_MITOTIC_SPINDLE,0.6351920693928129,1,-0.2225733691533379,-0.9308726710567529,5125,198,
HALLMARK_APICAL_JUNCTION,0.7197231833910035,1,0.194953597875585,0.9263072334606336,1455,186,
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.6510818204426759,1,-0.22179809846083312,-0.9243383292764525,5235,191,
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.6254040948275862,1,-0.23841022050680455,-0.9210503512848192,4642,103,
HALLMARK_COAGULATION,0.7234314980793854,1,0.20005124643163008,0.911718547747438,1694,136,
HALLMARK_MYC_TARGETS_V1,0.6810614595068218,1,-0.2195369490985989,-0.9112679157392788,5440,184,
HALLMARK_MYOGENESIS,0.7464281277177289,1,-0.2123007968531296,-0.8864415979696613,6007,195,
HALLMARK_PROTEIN_SECRETION,0.7043740573152338,1,-0.23147645149394314,-0.8839363033558022,5136,95,
HALLMARK_G2M_CHECKPOINT,0.7586681687320065,1,-0.21150993736872573,-0.8779488854861479,6060,184,
HALLMARK_ADIPOGENESIS,0.8602096854717923,1,-0.20017588357743882,-0.8330098802758776,6891,189,
HALLMARK_E2F_TARGETS,0.8735675137020429,1,-0.19840100909442604,-0.8263384651150585,7012,190,
HALLMARK_IL2_STAT5_SIGNALING,0.8934293876537076,1,-0.1949896237818426,-0.8131906741307872,7192,192,
HALLMARK_APOPTOSIS,0.9658356417359187,1,0.1706693919878124,0.7940560028808981,2091,159,
HALLMARK_HYPOXIA,0.9261335326357748,1,-0.18975279792950894,-0.7903187413614998,7434,190,
HALLMARK_HEDGEHOG_SIGNALING,0.8134097243728708,1,-0.24474323257971092,-0.7811571297220682,5252,35,
HALLMARK_KRAS_SIGNALING_UP,0.9403800770090672,1,-0.18698652020512943,-0.7798142868827806,7570,192,
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.8938053097345132,1,0.20729707050749824,0.7601172484314952,3029,41,
HALLMARK_GLYCOLYSIS,0.9677018633540373,1,-0.1790938349203865,-0.7470548908233287,7789,193,
HALLMARK_UV_RESPONSE_UP,0.9959128065395095,1,0.15282752996485935,0.7083769375223135,2192,153,
HALLMARK_TGF_BETA_SIGNALING,0.94449378330373,1,-0.19798862164070455,-0.6849973107757762,6380,52,
HALLMARK_P53_PATHWAY,0.9992494370778083,1,-0.15029764575384907,-0.625008927842809,7987,188,
HALLMARK_NOTCH_SIGNALING,0.9684952978056426,1,-0.19470680233830298,-0.6057156286693016,6178,31,
HALLMARK_MTORC1_SIGNALING,0.9997498123592694,1,-0.14514063517973078,-0.6035636308547079,7991,188,
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.998110661268556,1,-0.15308542685456697,-0.5908476682389251,7395,102,
HALLMARK_FATTY_ACID_METABOLISM,1,1,-0.12349489192572266,-0.5022421286296154,7782,152,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1,1,-0.11440359755523552,-0.47378390278567967,7944,180,
HALLMARK_DNA_REPAIR,1,1,-0.08654350871591802,-0.3493004354527141,7706,143,
