pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.0757239124270161e-4,0.005378619562135081,0.5384340963099162,0.3431730052035299,1.61400501926252,195,
HALLMARK_INFLAMMATORY_RESPONSE,0.0011475890653598348,0.02868972663399587,0.45505986738722953,0.3103539848586286,1.458047006133444,198,
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.004432052191864877,0.07386753653108129,0.40701791892395395,0.3025642384000305,1.423943980208082,192,
HALLMARK_HEME_METABOLISM,0.006688340668746719,0.08360425835933398,0.40701791892395395,-0.35092993558990576,-1.4488695812033652,189,
HALLMARK_SPERMATOGENESIS,0.011181051472321197,0.11181051472321196,0.3807304007227924,-0.36258444707411874,-1.422347309806332,131,
HALLMARK_KRAS_SIGNALING_DN,0.016938389575075638,0.120988496964826,0.35248785758361917,-0.3330593574226377,-1.3748699643160995,190,
HALLMARK_COMPLEMENT,0.016140998669936825,0.120988496964826,0.35248785758361917,0.28277821000461567,1.3375801179797742,194,
HALLMARK_PANCREAS_BETA_CELLS,0.02397492378353072,0.149843273647067,0.35248785758361917,-0.47671935991181363,-1.5411203158821234,40,
HALLMARK_UV_RESPONSE_DN,0.0710846561112755,0.39491475617375277,0.2878051305355643,0.2779181373571188,1.2630310740196475,135,
HALLMARK_ANGIOGENESIS,0.11647727272727272,0.5823863636363636,0.22205604614524838,0.3567038568677635,1.2678234558379071,35,
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.16847826086956522,0.7472826086956522,0.25720646646883816,0.23762521289772753,1.1197298684555652,193,
HALLMARK_ALLOGRAFT_REJECTION,0.1793478260869565,0.7472826086956522,0.24891111443470243,0.23616929993005642,1.1128693623001231,193,
HALLMARK_ANDROGEN_RESPONSE,0.19724137931034483,0.7586206896551725,0.1119183163251045,-0.31088558610498335,-1.167454163425873,94,
HALLMARK_XENOBIOTIC_METABOLISM,0.3654080389768575,1,0.06977925170762346,-0.25036566939086125,-1.0349122306022938,192,
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.3821428571428571,1,0.13214726060877433,0.23928898401454574,1.0314937361784242,92,
HALLMARK_PEROXISOME,0.4423076923076923,1,0.12687572992985735,0.23217033490157715,1.0142504662343121,101,
HALLMARK_BILE_ACID_METABOLISM,0.49794238683127573,1,0.060509298865666666,-0.25829175667844484,-0.9865271482300167,109,
HALLMARK_APICAL_SURFACE,0.5331230283911672,1,0.10135074379709887,0.2604830873356981,0.9624560938380311,43,
HALLMARK_ESTROGEN_RESPONSE_LATE,0.561963190184049,1,0.049690139272460555,-0.23227120078752816,-0.9586157373660804,194,
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.5441696113074205,1,0.10714023727672473,0.22417322751390645,0.955793652115286,87,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.5409356725146199,1,0.059603704257597284,-0.28406195155480635,-0.9498695760184983,47,
HALLMARK_MYC_TARGETS_V2,0.5643994211287988,1,0.05712585100181134,-0.2734778052027308,-0.9406727590008507,55,
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.5842293906810035,1,0.1035763266125924,0.22943358828576976,0.9386986115912617,71,
HALLMARK_MITOTIC_SPINDLE,0.6654545454545454,1,0.041404427376027834,-0.2225733691533379,-0.9221857947603906,198,
HALLMARK_APICAL_JUNCTION,0.6963350785340314,1,0.11673920479122178,0.194953597875585,0.9215356186984773,186,
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.6865853658536586,1,0.04024775650688684,-0.22179809846083312,-0.9169965607159457,191,
HALLMARK_COAGULATION,0.7405857740585774,1,0.09854998035316907,0.20005124643163008,0.9121861086982247,136,
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.629878869448183,1,0.04870108645215302,-0.23841022050680455,-0.9093753804019453,103,
HALLMARK_MYC_TARGETS_V1,0.6953316953316954,1,0.04000315174981936,-0.2195369490985989,-0.904457086567216,184,
HALLMARK_MYOGENESIS,0.7730582524271845,1,0.03449192150940737,-0.2123007968531296,-0.8781080417705012,195,
HALLMARK_G2M_CHECKPOINT,0.7874692874692875,1,0.03419460453185734,-0.21150993736872573,-0.8713870832131051,184,
HALLMARK_PROTEIN_SECRETION,0.7040110650069157,1,0.044864511316856426,-0.23147645149394314,-0.8701464365626648,95,
HALLMARK_ADIPOGENESIS,0.8606356968215159,1,0.029635488193919222,-0.20017588357743882,-0.8264577033541616,189,
HALLMARK_E2F_TARGETS,0.8751529987760098,1,0.028856776356490522,-0.19840100909442604,-0.8189999236316049,190,
HALLMARK_IL2_STAT5_SIGNALING,0.9001218026796589,1,0.027166976842539856,-0.1949896237818426,-0.8060096537330398,192,
HALLMARK_APOPTOSIS,0.9715639810426541,1,0.08998607949971373,0.1706693919878124,0.7892215339585014,159,
HALLMARK_HYPOXIA,0.9314565483476133,1,0.025622525320700754,-0.18975279792950894,-0.78330008361594194,190,
HALLMARK_KRAS_SIGNALING_UP,0.9427527405602923,1,0.02470863138011972,-0.18698652020512943,-0.7729280024249003,192,
HALLMARK_HEDGEHOG_SIGNALING,0.8184615384615385,1,0.042845050912155014,-0.24474323257971092,-0.7696468862399805,35,
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.8711656441717791,1,0.07253518643945886,0.20729707050749824,0.7604933269580769,41,
HALLMARK_GLYCOLYSIS,0.9767726161369193,1,0.022940567005690148,-0.1790938349203865,-0.739482662075206,193,
HALLMARK_UV_RESPONSE_UP,0.9861111111111112,1,0.08783126344801238,0.15282752996485935,0.7026616466358403,153,
HALLMARK_TGF_BETA_SIGNALING,0.953757225433526,1,0.03279711894678383,-0.19798862164070455,-0.6757461059382435,52,
HALLMARK_P53_PATHWAY,1,1,0.02172400062005253,-0.15029764575384907,-0.6201059902322429,188,
HALLMARK_MTORC1_SIGNALING,1,1,0.02172400062005253,-0.14514063517973078,-0.5988289227661353,188,
HALLMARK_NOTCH_SIGNALING,0.9565217391304348,1,0.03607299763882261,-0.19470680233830298,-0.5977645248130082,31,
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1,1,0.02695629630083235,-0.15308542685456697,-0.5826278482607118,102,
HALLMARK_FATTY_ACID_METABOLISM,1,1,0.024426888716872902,-0.12349489192572266,-0.4950757865686167,152,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1,1,0.021939825270977154,-0.11440359755523552,-0.4701783232398116,180,
HALLMARK_DNA_REPAIR,1,1,0.02513070594748489,-0.08654350871591802,-0.34399730791266175,143,
