"sample","n_probes","n_na","mean","sd","median","IQR","min","max"
"GSM2242042_C1_edge_Week0.CEL",54675,0,6.99338439019164,2.87171996270144,6.97924570693205,4.01460586981065,-2.72977252634404,15.8806199295089
"GSM2242043_C1_edge_Week1.CEL",54675,0,6.92994396156169,2.86087127441863,6.8115614649205,3.83403691989428,-1.86660163324205,16.5944204024508
"GSM2242044_C2_edge_Week0.CEL",54675,0,7.10919034698145,2.81348312085315,7.09060544086765,3.69683547747743,-1.3368335924944,17.0642420279791
"GSM2242045_C2_edge_Week1.CEL",54675,0,7.07429727767707,2.84033993945806,7.0654600826363,3.79235157502923,-1.53065544716094,16.7874494675702
"GSM2242046_C3_edge_Week0.CEL",54675,0,6.86646070795888,2.99930377516111,6.87718909852748,4.14086197167384,-1.91552415166518,16.7815154095163
"GSM2242047_C3_edge_Week1.CEL",54675,0,7.00088506180806,2.86267914616327,6.94813242323951,3.76436258439131,-1.18471446945705,17.2108268037579
"GSM2242048_T1_edge_Week0.CEL",54675,0,6.93868662804318,2.86782545453549,6.84952597998961,3.9264706520042,-3.87899427745804,15.7748606832401
"GSM2242049_T1_edge_Week1.CEL",54675,0,6.95950330852765,2.85165528420893,6.86465185094681,3.94413410887147,-3.18989726172635,15.4926998180356
"GSM2242050_T2_edge_Week0.CEL",54675,0,6.9963076536329,2.81720020074472,6.87382365076777,3.86444484955361,-3.05551736068944,15.8750952122101
"GSM2242051_T2_edge_Week1.CEL",54675,0,6.95999502035298,2.85920923657231,6.87441471760757,3.93941865218138,-3.23026290128357,15.6441634104512
"GSM2242052_T3_edge_Week0.CEL",54675,0,7.10521672100824,2.79771119753094,7.06745555754797,3.79479384888662,-2.31324502339263,16.7859669166983
"GSM2242053_T3_edge_Week1.CEL",54675,0,6.98957750197071,2.88850402897341,6.97036827818937,3.97869340121798,-2.43097380714217,16.1692996261307
"GSM2242054_T4_edge_Week0.CEL",54675,0,7.18249719862087,2.74984911073916,7.16414744364742,3.69802891443488,-2.38547576220943,17.1375818171487
"GSM2242055_T4_edge_Week1.CEL",54675,0,7.0219121786052,2.83391681951314,6.93280642171194,3.9013770468585,-2.89374326627062,16.3363134181123
"GSM2242056_T5_edge_Week0.CEL",54675,0,6.96510217029033,2.87312560164951,6.87268626549549,3.82853305985463,-2.86744973320195,16.5830765346887
"GSM2242057_T5_edge_Week1.CEL",54675,0,7.07096922334847,2.83857434906783,7.05912477470588,3.78588409859419,-1.13154389557771,17.278855213796
"GSM2242058_T6_edge_Week0.CEL",54675,0,7.1703638856935,2.75141203224149,7.13857347472351,3.71218281253589,-1.78476084328375,16.5263577084521
"GSM2242059_T6_edge_Week1.CEL",54675,0,7.05817120935702,2.86574926254724,7.06678680521766,3.91766039256724,-2.97829855815655,16.732517753654
