"logFC","AveExpr","t","P.Value","adj.P.Val","B","probe_id"
-4.68016723094187,5.02978558740551,-8.38508990354414,2.75990240396351e-07,0.0150897663936705,5.33766520167655,"220908_at"
-2.84740359160185,5.36332604551629,-7.88098372718871,6.24418048747447e-07,0.0170700284076333,4.81295659785208,"217332_at"
3.93607572712835,2.47809761184486,6.96412547295221,2.99985128195337e-06,0.0546722896136002,3.7515173868365,"205309_at"
-2.97868651345955,5.54152558714273,-6.70158049573496,4.80089742832765e-06,0.059975906206325,3.42067096435472,"232357_at"
5.31725293284196,3.49976558529664,6.53853061514588,6.45969212320545e-06,0.059975906206325,3.20897465612345,"1566963_at"
-5.49024930430247,4.05206711978837,-6.42005692742955,8.03260026646899e-06,0.059975906206325,3.05213430634428,"1556826_s_at"
-4.64403775173232,3.52535307178671,-6.39554615950402,8.40506616088741e-06,0.059975906206325,3.01936750762236,"214432_at"
-6.00249366131388,3.98192070216983,-6.37225711819518,8.77562413627069e-06,0.059975906206325,2.98813265455619,"1568902_at"
-3.48021048368068,5.14842581062692,-6.29842133272087,1.00668723461288e-05,0.0611562495027324,2.88845227895417,"231335_at"
-5.79516893830208,2.79208318706754,-6.14997019009748,1.32964332585914e-05,0.0639120556536137,2.68503042387035,"1561584_at"
-4.77068054200852,3.66372712487166,-6.14345456302994,1.34607355190437e-05,0.0639120556536137,2.67600998838028,"1555035_a_at"
2.93117538911681,5.82417132619129,6.12160217667048,1.40273373176656e-05,0.0639120556536137,2.64570032562779,"1569898_a_at"
-3.70538974660002,5.24717236776698,-6.00050885816985,1.76486590317408e-05,0.0742261871200328,2.47616362213998,"230928_at"
-4.19422468014777,5.19553761227041,-5.8959542601406,2.15534598060647e-05,0.0824123826710493,2.32763457310192,"1555262_a_at"
3.71247695570078,4.76275614314846,5.87104084740889,2.26097071799861e-05,0.0824123826710493,2.2919499973083,"1569855_at"
-3.42639386377982,5.93708413610162,-5.83303647056433,2.43254054959987e-05,0.0831244715933581,2.23729802904051,"244012_x_at"
-2.45052400481182,5.64044111378345,-5.70361504435139,3.12505729143201e-05,0.0911165067789374,2.04922778051861,"1555668_a_at"
-4.04319848363173,4.79792698788634,-5.66806132832416,3.34898934687647e-05,0.0911165067789374,1.99703508586324,"214561_at"
-3.34425433665112,4.83741276147307,-5.66518344750092,3.36782687741673e-05,0.0911165067789374,1.99280046465651,"243354_at"
-3.90174171574934,2.80536053151874,-5.65437856829841,3.43953533288357e-05,0.0911165067789374,1.97688853949117,"231446_at"
-4.88526203187998,2.31800653568456,-5.64422496684954,3.50836108197085e-05,0.0911165067789374,1.96191670511656,"1554778_at"
4.48540350218834,2.55387157048687,5.6216794482311,3.6663249184026e-05,0.0911165067789374,1.92860675090829,"1560182_at"
-4.33674137343011,4.35196847142966,-5.57404068498897,4.02475772865292e-05,0.0956754907887385,1.85792493643403,"217680_x_at"
