logFC,AveExpr,t,P.Value,adj.P.Val,B,probe_id,SYMBOL
-4.64403775173232,3.52535307178671,-6.39554615950401,8.40506616088747e-6,0.0599759062063252,3.01936750762236,214432_at,ATP1A3
-4.68016723094187,5.02978558740551,-8.38508990354414,2.75990240396354e-7,0.0150897663936707,5.33766520167654,220908_at,CCDC33
-4.77068054200852,3.66372712487166,-6.14345456302993,1.34607355190437e-5,0.0639120556536146,2.67600998838027,1555035_a_at,CLRN1
-2.84740359160185,5.36332604551629,-7.8809837271887,6.24418048747464e-7,0.0170700284076338,4.81295659785206,217332_at,CTAGE11P
-5.49024930430247,4.05206711978837,-6.42005692742955,8.03260026646903e-6,0.0599759062063252,3.05213430634427,1556826_s_at,DRAXIN
-3.34425433665112,4.83741276147307,-5.66518344750091,3.36782687741675e-5,0.0911165067789377,1.9928004646565,243354_at,HYDIN
-3.34425433665112,4.83741276147307,-5.66518344750091,3.36782687741675e-5,0.0911165067789377,1.9928004646565,243354_at,HYDIN2
-4.04319848363173,4.79792698788634,-5.66806132832415,3.34898934687649e-5,0.0911165067789377,1.99703508586323,214561_at,LILRP2
-3.90174171574934,2.80536053151874,-5.65437856829841,3.43953533288359e-5,0.0911165067789377,1.97688853949116,231446_at,LINC02366
4.48540350218834,2.55387157048687,5.6216794482311,3.66632491840261e-5,0.0911165067789377,1.92860675090828,1560182_at,LOC101927066
3.71247695570078,4.76275614314846,5.87104084740888,2.26097071799862e-5,0.0824123826710496,2.29194999730829,1569855_at,LOC101928306
-4.19422468014777,5.19553761227041,-5.8959542601406,2.15534598060649e-5,0.0824123826710496,2.32763457310191,1555262_a_at,MAGI1
-3.48021048368068,5.14842581062692,-6.29842133272086,1.00668723461289e-5,0.0611562495027329,2.88845227895416,231335_at,MS4A6E
2.93117538911681,5.82417132619129,6.12160217667047,1.40273373176658e-5,0.0639120556536146,2.64570032562778,1569898_a_at,PAXIP1-AS2
-4.88526203187998,2.31800653568456,-5.64422496684954,3.50836108197086e-5,0.0911165067789377,1.96191670511655,1554778_at,PHLDB2
-2.45052400481182,5.64044111378345,-5.70361504435139,3.12505729143206e-5,0.0911165067789377,2.0492277805186,1555668_a_at,PRKN
-4.33674137343011,4.35196847142966,-5.57404068498896,4.02475772865294e-5,0.0956754907887389,1.85792493643403,217680_x_at,RPL10
3.93607572712835,2.47809761184486,6.96412547295221,2.9998512819534e-6,0.0546722896136007,3.75151738683649,205309_at,SMPDL3B
-2.97868651345955,5.54152558714273,-6.70158049573495,4.80089742832772e-6,0.0599759062063252,3.42067096435471,232357_at,TTLL9
